origen,producto_insumo_codigo,producto_insumo,producto_destino_codigo,producto_destino,valor_millones_quetzales
domestico,P002,Frijoles,P059,"Hilados, tejidos, telas y otros productos textiles excepto prendas de vestir",0
domestico,P002,Frijoles,P060,"Prendas de vestir, adobo y teñido de pieles",0
domestico,P002,Frijoles,P061,Cuero de piel curtida o adobada y cuero artificial o regenerado y artículos de cuero,0
domestico,P002,Frijoles,P062,"Calzado y sus partes, de cualquier material y de cualquier uso",0
domestico,P002,Frijoles,P063,"Madera aserrada y acepillada, productos de madera, corcho, paja y materiales trenzables",0
domestico,P002,Frijoles,P064,Pasta de papel y papel,0
domestico,P002,Frijoles,P065,Envases de papel y cartón,0
domestico,P002,Frijoles,P066,Productos de la edición,0
domestico,P002,Frijoles,P067,Productos de la impresión,0
domestico,P002,Frijoles,P068,"Gasolinas, diésel oil y fuel oils",0
domestico,P002,Frijoles,P069,"Aceites, grasas lubricantes y otros aceites preparados",0
domestico,P002,Frijoles,P070,"Gases de petróleo, otros productos de la refinación de petróleo n.c.p.",0
domestico,P002,Frijoles,P071,"Abonos, fertilizantes y pesticidas",0
domestico,P002,Frijoles,P072,"Pinturas, barnices, tintas y productos relacionados",0
domestico,P002,Frijoles,P073,"Jabón, preparados de limpieza, perfumes y preparados de toilet",0
domestico,P002,Frijoles,P074,Otros productos químicos,0
domestico,P002,Frijoles,P075,Productos farmacéuticos,0
domestico,P002,Frijoles,P076,Productos de caucho y plástico,0
domestico,P002,Frijoles,P077,Vidrio y productos de vidrio,0
domestico,P002,Frijoles,P078,Productos de cerámica y arcilla,0
domestico,P002,Frijoles,P079,"Cemento, cal y yeso",0
domestico,P002,Frijoles,P080,"Artículos de hormigón, cemento y yeso",0
domestico,P002,Frijoles,P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,0
domestico,P002,Frijoles,P082,"Métales básicos de hierro y acero, productos primarios de metales preciosos y otros metales no ferrosos",0
domestico,P002,Frijoles,P083,Productos metálicos estructurales y sus partes de hierro o de acero,0
domestico,P002,Frijoles,P084,Otros productos elaborados de metal,0
domestico,P002,Frijoles,P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",0
domestico,P002,Frijoles,P086,Electrodomésticos y sus partes,0
domestico,P002,Frijoles,P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",0
domestico,P002,Frijoles,P088,"Maquinaria y aparatos eléctricos, sus partes y piezas",0
domestico,P002,Frijoles,P089,"Equipo y aparatos de radio, televisión y comunicaciones",0
domestico,P002,Frijoles,P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",0
domestico,P002,Frijoles,P091,Equipo de transporte,0
domestico,P002,Frijoles,P092,Muebles,0
domestico,P002,Frijoles,P093,Otros artículos n.c.p.,0
domestico,P002,Frijoles,P094,Residuos y desechos,0
domestico,P002,Frijoles,P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",0
domestico,P002,Frijoles,P096,Agua natural y distribución de agua natural,0
domestico,P002,Frijoles,P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",0
domestico,P002,Frijoles,P098,Edificaciones residenciales,0
domestico,P002,Frijoles,P099,Edificaciones no residenciales,0
domestico,P002,Frijoles,P100,Obras de ingeniería civil,0
domestico,P002,Frijoles,P101,Servicios generales y especializados de construcción,0
domestico,P002,Frijoles,P102,Servicios de comercio,0
domestico,P002,Frijoles,P103,Mantenimiento y reparación de vehículos automotores y motocicletas,0
