origen,codigo,producto,componente,valor_publicado_millones_quetzales,multiplicador_contable,valor_aplicado_millones_quetzales
domestico,P061,Cuero de piel curtida o adobada y cuero artificial o regenerado y artículos de cuero,consumo_hogares,463.276098182109,1,463.276098182109
domestico,P062,"Calzado y sus partes, de cualquier material y de cualquier uso",consumo_hogares,1034.69293268236,1,1034.69293268236
domestico,P063,"Madera aserrada y acepillada, productos de madera, corcho, paja y materiales trenzables",consumo_hogares,26.5738585568122,1,26.5738585568122
domestico,P064,Pasta de papel y papel,consumo_hogares,411.58204429454,1,411.58204429454
domestico,P065,Envases de papel y cartón,consumo_hogares,5.60091086528783,1,5.60091086528783
domestico,P066,Productos de la edición,consumo_hogares,1030.26667618838,1,1030.26667618838
domestico,P067,Productos de la impresión,consumo_hogares,195.589925423468,1,195.589925423468
domestico,P068,"Gasolinas, diésel oil y fuel oils",consumo_hogares,0,1,0
domestico,P069,"Aceites, grasas lubricantes y otros aceites preparados",consumo_hogares,0,1,0
domestico,P070,"Gases de petróleo, otros productos de la refinación de petróleo n.c.p.",consumo_hogares,0,1,0
domestico,P071,"Abonos, fertilizantes y pesticidas",consumo_hogares,5.16936122329105,1,5.16936122329105
domestico,P072,"Pinturas, barnices, tintas y productos relacionados",consumo_hogares,37.272489213875,1,37.272489213875
domestico,P073,"Jabón, preparados de limpieza, perfumes y preparados de toilet",consumo_hogares,2042.02551197692,1,2042.02551197692
domestico,P074,Otros productos químicos,consumo_hogares,322.397777419136,1,322.397777419136
domestico,P075,Productos farmacéuticos,consumo_hogares,629.420737587503,1,629.420737587503
domestico,P076,Productos de caucho y plástico,consumo_hogares,1717.85113711216,1,1717.85113711216
domestico,P077,Vidrio y productos de vidrio,consumo_hogares,37.3568920331921,1,37.3568920331921
domestico,P078,Productos de cerámica y arcilla,consumo_hogares,127.498636247978,1,127.498636247978
domestico,P079,"Cemento, cal y yeso",consumo_hogares,48.942554897118,1,48.942554897118
domestico,P080,"Artículos de hormigón, cemento y yeso",consumo_hogares,0.0479062122352849,1,0.0479062122352849
domestico,P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,consumo_hogares,20.1713778302575,1,20.1713778302575
domestico,P082,"Métales básicos de hierro y acero, productos primarios de metales preciosos y otros metales no ferrosos",consumo_hogares,1.75249756652723,1,1.75249756652723
domestico,P083,Productos metálicos estructurales y sus partes de hierro o de acero,consumo_hogares,555.1288873223,1,555.1288873223
