codigo,producto,producto_produccion_cero,apto_para_simulacion,estado_simulacion,coeficiente_insumo_domestico_directo,coeficiente_importacion_directa,coeficiente_intermedio_total_directo,coeficiente_valor_agregado_directo,coeficiente_impuestos_netos_sobre_insumos_intermedios_asociados_directo,coeficiente_empleo_directo_puestos_por_millon,multiplicador_produccion_domestica,multiplicador_produccion_indirecta,requerimiento_importacion_total,requerimiento_importacion_indirecta,multiplicador_valor_agregado,multiplicador_valor_agregado_indirecto,impuestos_netos_sobre_insumos_intermedios_asociados_total,impuestos_netos_sobre_insumos_intermedios_asociados_indirecto,multiplicador_empleo_puestos_por_millon,multiplicador_empleo_indirecto_puestos_por_millon,encadenamiento_atras_directo_normalizado,indice_dispersion_adelante_directo_normalizado,encadenamiento_adelante_directo_normalizado,encadenamiento_atras_normalizado,indice_dispersion_adelante_rh_normalizado,encadenamiento_adelante_normalizado,metodo_indice_adelante,tipo_encadenamiento,ranking_multiplicador_produccion,ranking_requerimiento_importacion,ranking_multiplicador_valor_agregado,ranking_multiplicador_empleo,ranking_encadenamiento_atras,ranking_indice_dispersion_adelante_rh
P029,"Peces vivos, frescos o refrigerados",False,True,apto,0.168358558157397,0.228187039363356,0.396545597520753,0.565695543356349,0.0377588591228963,23.0453629755207,1.23228338242652,0.232283382426516,0.265017052255985,0.0368300128926286,0.69560250187365,0.129906958517301,0.0393804458703587,0.00162158674746236,25.2936930923986,2.24833011687787,0.519175490735239,0.0954877320019688,0.0954877320019688,0.835598876557085,0.700452740216569,0.700452740216569,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,132,47,110,22,132,111
P030,Crustáceos sin congelar y otros productos de la pesca,False,True,apto,0.469794536849787,0.0900541536041915,0.559848690453979,0.433533000932037,0.0066183086139817,10.6053832641572,1.68388643177874,0.68388643177874,0.253666003432933,0.163611849828741,0.736653040250023,0.303120039317986,0.00968095631702328,0.00306264770304158,18.6821026995799,8.07671943542266,1.44872830869517,0.171084289441571,0.171084289441571,1.14182632883791,0.721599165635171,0.721599165635171,Rasmussen-Hirschman_filas_L_no_Ghosh,impulsor_demanda,36,48,98,32,36,98
P031,Petróleo crudo y gas natural,False,True,apto,0.251530834086778,0.154865403536965,0.406396237623742,0.584166239031867,0.0094375233443885,0.226356941229024,1.3489500808731,0.348950080873102,0.209564930972576,0.0546995274356109,0.777662335757162,0.193496096725295,0.0127727332702141,0.0033352099258256,1.6284556994998,1.40209875827078,0.775657891415061,0.849929410630962,0.849929410630962,0.914709382747332,0.902335910626416,0.902335910626416,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,103,65,81,143,103,57
P032,Minerales metálicos,False,True,apto,0.247397767219588,0.137870280669499,0.385268047889087,0.607281842898952,0.0074501092119579,0.646276435085976,1.35224526427173,0.352245264271733,0.19794302345683,0.0600727427873312,0.79121048867976,0.183928645780808,0.0108464878633833,0.00339637865142544,2.30635409762653,1.66007766254056,0.762912551691918,1.01552522100092e-20,1.01552522100092e-20,0.916943813224292,0.678089868348049,0.678089868348049,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,101,71,75,141,101,135
P033,Minerales no metálicos,False,True,apto,0.271720693051959,0.119605875969657,0.391326569021616,0.595390100901424,0.0132833300769571,13.355403922986,1.37169817180717,0.371698171807173,0.166285301032093,0.0466794250624354,0.816938457760345,0.221548356858921,0.0167762412075337,0.00349291113057657,15.7773724587844,2.42196853579844,0.837918343457681,1.99294149980143,1.99294149980143,0.930134632733985,1.25627514748444,1.25627514748444,Rasmussen-Hirschman_filas_L_no_Ghosh,proveedor_estrategico,94,89,62,45,94,27
P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,False,True,apto,0.751294259832823,0.0162871329954537,0.767581392828277,0.229248471763849,0.0031701354078724,4.13764391605483,1.98166820672735,0.981668206727349,0.114292030429418,0.0980048974339638,0.877440642118512,0.648192170354663,0.00826732745204521,0.00509719204417281,19.7016380227351,15.5639941066803,2.31680272333181,0.927072756831461,0.927072756831461,1.34374913340926,0.947832333210747,0.947832333210747,Rasmussen-Hirschman_filas_L_no_Ghosh,impulsor_demanda,7,114,33,30,7,51
P035,Carne y despojos comestibles de ganado porcino,False,True,apto,0.751143437411625,0.00707989593121548,0.758223333342841,0.240283718626063,0.0014929480310954,5.39600393141878,2.35180574639109,1.35180574639109,0.210665136030606,0.20358524009939,0.781849410150103,0.54156569152404,0.00748545381927174,0.00599250578817634,23.235233404828,17.8392294734092,2.31633762488124,0.296828169755537,0.296828169755537,1.59473564895052,0.758656396612412,0.758656396612412,Rasmussen-Hirschman_filas_L_no_Ghosh,impulsor_demanda,2,64,78,27,2,86
P036,Carne y despojos comestibles de aves,False,True,apto,0.731959358806833,0.0327877574317016,0.764747116238535,0.232209557767583,0.0030433259938809,2.71844812886557,2.36674459892313,1.36674459892313,0.235452190912106,0.202664433480404,0.756344293131432,0.524134735363849,0.00820351595643592,0.00516018996255502,13.0699703071533,10.3515221782878,2.2571787467526,0.341663397080066,0.341663397080066,1.60486553349724,0.777518377513184,0.777518377513184,Rasmussen-Hirschman_filas_L_no_Ghosh,impulsor_demanda,1,54,90,58,1,78
P037,Carne y despojos de otros animales y conservas y preparados de carne,False,True,apto,0.528768644713954,0.132759780230474,0.661528424944427,0.331008199662538,0.007463375393031,3.08423222589426,1.95783119298782,0.957831192987824,0.251268348061906,0.118508567831432,0.736503962745114,0.405495763082576,0.0122276891929506,0.00476431379991957,11.8800455440057,8.79581331811143,1.63058963921587,0.12355925101002,0.12355925101002,1.32758549590082,0.727523678656868,0.727523678656868,Rasmussen-Hirschman_filas_L_no_Ghosh,impulsor_demanda,9,49,99,63,9,97
P038,"Pescado congelado, preparado o en conserva y sus productos",False,True,apto,0.145861460026689,0.561589702310698,0.707451162337387,0.281098073696557,0.0114507639660541,1.12891004339003,1.19385546206971,0.193855462069705,0.590872470540308,0.0292827682296098,0.395238125531056,0.114140051834499,0.0138894039286218,0.0024386399625677,2.7726021379354,1.64369209454537,0.449800092834706,0.0222694118886578,0.0222694118886578,0.809541293101446,0.683040595243491,0.683040595243491,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,138,2,145,137,138,128
