indicador_id,indicador,unidad,criterio_desempate,posicion_ordenada,rango_con_empates,codigo,producto,producto_produccion_cero,apto_para_simulacion,estado_simulacion,valor
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,104,104,P144,Servicios médicos y dentales,False,True,apto,0.91213789850017
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,105,105,P102,Servicios de comercio,False,True,apto,0.911935515119864
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,106,106,P129,Servicios de limpieza,False,True,apto,0.908582254387428
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,107,107,P028,Productos forestales no madereros,False,True,apto,0.899676079118944
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,108,108,P131,"Servicios administrativos, de apoyo de oficina y otros servicios de apoyo a las empresas",False,True,apto,0.899070002362925
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,109,109,P112,"Servicios de información, telecomunicaciones y radiodifusión",False,True,apto,0.897907074976903
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,110,110,P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",False,True,apto,0.893646791367879
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,111,111,P104,Servicio de transporte de pasajeros por vía terrestre,False,True,apto,0.893051421117316
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,112,112,P073,"Jabón, preparados de limpieza, perfumes y preparados de toilet",False,True,apto,0.892338485724902
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,113,113,P070,"Gases de petróleo, otros productos de la refinación de petróleo n.c.p.",False,True,apto,0.891316503622211
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,114,114,P076,Productos de caucho y plástico,False,True,apto,0.881977942924645
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,115,115,P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",False,True,apto,0.881527148535826
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,116,116,P021,Ganado bovino,False,True,apto,0.876777821837054
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,117,117,P005,Otros cereales,False,True,apto,0.876183917108098
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,118,118,P014,"Berries, otras frutas y semillas de frutas",False,True,apto,0.875391922402497
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,119,119,P143,Servicios de hospitalización,False,True,apto,0.871719372341283
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,120,120,P130,Servicios telefónicos de centros de llamadas,False,True,apto,0.869988813259141
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,121,121,P007,Sandías y melones,False,True,apto,0.867191605879706
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,122,122,P103,Mantenimiento y reparación de vehículos automotores y motocicletas,False,True,apto,0.864159688128385
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,123,123,P001,Maíz,False,True,apto,0.861799144900407
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,124,124,P141,Servicios administrativos relacionados con los sistemas de seguridad social de afiliación obligatoria,False,True,apto,0.8593796720561
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,125,125,P047,Harina de trigo,False,True,apto,0.858251793866088
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,126,126,P084,Otros productos elaborados de metal,False,True,apto,0.855578949213322
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,127,127,P006,Hortalizas,False,True,apto,0.850303351233776
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,128,128,P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",False,True,apto,0.848289487323853
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,129,129,P133,Servicios de reparación de otros bienes,False,True,apto,0.844691908453964
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,130,130,P083,Productos metálicos estructurales y sus partes de hierro o de acero,False,True,apto,0.844547271151226
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,131,131,P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",False,True,apto,0.839174379989034
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,132,132,P029,"Peces vivos, frescos o refrigerados",False,True,apto,0.835598876557085
