codigo,producto,produccion_precios_basicos,total_utilizacion_precios_basicos,diferencia_produccion_utilizacion,producto_interno_bruto,puestos_trabajo
P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",48.1891350815446,48.1891350815258,1.88720150617883e-11,48.8471674215972,205
P091,Equipo de transporte,665.764400568657,665.764400568344,3.12638803734444e-10,672.570942655242,1810
P092,Muebles,4894.33843929797,4894.338439298,-2.45563569478691e-11,4931.13450088906,27237
P093,Otros artículos n.c.p.,1571.34722595069,1571.34722595044,2.50793164013885e-10,1587.24167975557,9476
P094,Residuos y desechos,1356.7667311114,1356.76673111143,-3.09228198602796e-11,1374.29048438481,16135
P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",14244.3333291122,14244.3333291122,1.81898940354586e-12,14346.992678358,10070
P096,Agua natural y distribución de agua natural,3403.61196747179,3403.61196747178,4.54747350886464e-13,3443.93615602776,35056
P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",729.175866782281,729.175866782281,1.13686837721616e-13,741.532250213835,11567
P098,Edificaciones residenciales,15309.2352312153,15309.2352312153,0,15461.6275087079,189189
P099,Edificaciones no residenciales,6341.69554987791,6341.85886074381,-0.163310865901622,6417.45169140633,37813
P100,Obras de ingeniería civil,11112.924307115,11112.924307115,0,11258.7566222034,36716
P101,Servicios generales y especializados de construcción,9928.68689764642,9928.68689764621,2.11002770811319e-10,10070.7289278315,53867
P102,Servicios de comercio,102043.638229806,102043.63822981,-3.91446519643068e-09,102790.933285799,1138634.44951963
P103,Mantenimiento y reparación de vehículos automotores y motocicletas,8257.92418508037,8257.92418508044,-7.09405867382884e-11,8359.54790124919,92425
P104,Servicio de transporte de pasajeros por vía terrestre,5949.81031614124,5949.81031614124,-9.09494701772928e-13,6076.34742347332,53031
P105,Servicio de transporte de carga por vía terrestre,11417.858404075,11417.6684040842,0.189999990836441,11730.6410391658,90942
P106,Otros tipos de transporte,484.03552693503,484.035526495431,4.39598750290315e-07,491.58496171782,1872
P107,Servicios de almacenamiento y depósito,259.314216592575,259.314216592613,-3.76871867047157e-11,261.59164813325,1398
P108,Otros servicios de apoyo al transporte,5874.55492081209,5874.55492081204,4.82032191939652e-11,5926.2875148106,27944
P109,Servicios postales y de mensajería,1105.40161433951,1105.40161433952,-1.88720150617883e-11,1123.60869179968,6434
P110,Servicio de alojamiento,1875.44517882543,1875.44517882543,2.27373675443232e-13,1897.23043554128,17022
P111,Servicio de suministro de comidas y bebidas,27427.2696461057,27427.2696461057,2.5465851649642e-11,27767.3916610923,298374
P112,"Servicios de información, telecomunicaciones y radiodifusión",23512.7925804241,23512.7925804242,-6.18456397205591e-11,23704.5156648987,25809
P113,Servicios de banco central,696.027746796241,696.027746796241,0,708.752800815862,845
P114,Otros servicios financieros y servicios de banca de inversión,2169.24976302881,2169.24976302881,4.54747350886464e-13,2191.35305197945,2549
P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),13885.1132921169,13885.1132921171,-2.0190782379359e-10,13969.7516171877,30686
P116,"Servicios de seguro, reaseguro y fondos de pensiones",3772.90364649318,3772.90364649317,1.59161572810262e-11,3817.04587931557,2267
P117,Servicios auxiliares de la intermediación financiera,4359.16840793789,4359.16840793789,2.72848410531878e-12,4390.92094968103,10827
P118,Servicios de alquiler de vivienda,30462.7748683978,30462.7748683978,-3.63797880709171e-12,30498.6752882354,0
P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",10648.6153650858,10648.6153650858,0,10726.7901709288,41188
P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",3795.32785254931,3795.32785254862,6.85304257785901e-10,3813.85875781478,27701
P121,Servicios de tecnología de la información,2234.78042277744,2234.78042277758,-1.45519152283669e-10,2259.27429932583,10660
P122,"Servicios de arquitectura e ingeniería, ensayos y análisis técnicos",2625.15714309858,2625.15714309858,-9.09494701772928e-13,2652.08571144352,7834
P123,"Otros servicios profesionales, científicos y técnicos",6769.11242359268,6769.13742359271,-0.0250000000251021,6818.37108099568,38964
P124,Servicios de publicidad y estudios de mercado,4401.47057780042,4401.47057780041,1.36424205265939e-11,4448.60388000146,14888
P125,Servicios de arrendamiento o alquiler sin operador,4856.55028565223,4856.55028565603,-3.79895936930552e-09,4900.68994645178,27215
P126,Servicios  de agencias de empleo y de dotación de recursos humanos,5859.53683797072,5859.53683797072,0,5877.01457275378,104741
P127,"Servicios de agencias de viajes, operadores turísticos y actividades conexas",707.71240078542,707.71240078542,-1.13686837721616e-13,715.699522404245,3834
P128,"Servicios de seguridad, sistemas de seguridad e investigación privada",3393.23159681246,3393.23159681246,-9.09494701772928e-13,3411.3760499914,45441
P129,Servicios de limpieza,1014.42911109386,1014.42911109386,1.13686837721616e-13,1021.94895927502,12356
P130,Servicios telefónicos de centros de llamadas,2128.52825455496,2128.52825455502,-6.00266503170133e-11,2139.37985433754,15507
P131,"Servicios administrativos, de apoyo de oficina y otros servicios de apoyo a las empresas",2293.63836551987,2293.63836551981,5.72981662116945e-11,2316.45246347827,16042
P132,"Servicios de mantenimiento, reparación e instalación de productos metálicos elaborados, maquinaria y equipo",3791.25875335514,3791.2587533552,-6.18456397205591e-11,3843.68098216897,9527
