codigo,producto,exportaciones_fob,consumo_hogares,consumo_isflsh,consumo_gobierno,formacion_bruta_capital_fijo,variacion_existencias,ajuste_cif_fob_publicado,ajuste_cif_fob_aplicado,total_componentes_no_solapados,total_demanda_final_fuente
P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",447.262552137963,64.4090835089312,0,0,5706.14238977481,41.3046352812337,0,-0,6259.11866070294,6259.11866070294
P086,Electrodomésticos y sus partes,25.7316463870096,738.665821245398,0,0.00193768604936293,162.688160139955,5.34203732609542,0,-0,932.429602784507,932.429602784507
P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",28.8035822138619,385.674466727112,0,0,1222.02801955513,2.02836645305874,0,-0,1638.53443494917,1638.53443494917
P088,"Maquinaria y aparatos eléctricos, sus partes y piezas",60.3407354925744,217.539163065463,0,0,1535.72859890414,82.1144065379673,0,-0,1895.72290400014,1895.72290400014
P089,"Equipo y aparatos de radio, televisión y comunicaciones",114.580748828586,4258.20014859108,0,0,1437.31303446783,127.230340818913,0,-0,5937.32427270641,5937.32427270641
P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",54.2429717831771,154.538611114237,11.356683118266,4.00114537433194,1058.23738036996,30.2418689499349,0,-0,1312.6186607099,1312.6186607099
P091,Equipo de transporte,40.24520136407,2728.01032020631,0.149206238329023,0,4094.1578450585,33.1471364227219,0,-0,6895.70970928993,6895.70970928993
P092,Muebles,0,352.399346316234,0,0,206.1636394213,1.07144587234989,0,-0,559.634431609883,559.634431609883
P093,Otros artículos n.c.p.,119.868795503584,628.722854225478,6.96245970660681,2.80467123910031,151.36922033837,1.72818038408192,0,-0,911.456181397221,911.456181397222
P094,Residuos y desechos,0,0,0,0,0,2.5614677139658,0,-0,2.5614677139658,2.56146771396578
P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",0,136.555813,0,0,0,0,0,-0,136.555813,136.555813
P096,Agua natural y distribución de agua natural,0,0,0,0,0,0,0,-0,0,0
P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",0,0,0,0,0,0,0,-0,0,0
P098,Edificaciones residenciales,0,0,0,0,0,0,0,-0,0,0
P099,Edificaciones no residenciales,0,0,0,0,0,0,0,-0,0,0
P100,Obras de ingeniería civil,0,0,0,0,0,0,0,-0,0,0
P101,Servicios generales y especializados de construcción,0,0,0,0,0,0,0,-0,0,0
P102,Servicios de comercio,0,0,0,0,0,0,0,-0,0,0
P103,Mantenimiento y reparación de vehículos automotores y motocicletas,0,0,0,0,0,0,0,-0,0,0
P104,Servicio de transporte de pasajeros por vía terrestre,0,43.4009146595445,0,0,0,0,0,-0,43.4009146595445,43.4009146595445
P105,Servicio de transporte de carga por vía terrestre,0,0,0,0,0,0,23.9879956546108,-23.9879956546108,-23.9879956546108,-23.9879956546108
P106,Otros tipos de transporte,0,1191.38700657126,0,0,0,0,0,-0,1191.38700657126,1191.38700657126
P107,Servicios de almacenamiento y depósito,0,0,0,0,0,0,0,-0,0,0
P108,Otros servicios de apoyo al transporte,0,0,0,0,0,0,0,-0,0,0
P109,Servicios postales y de mensajería,0,0,0,0,0,0,0,-0,0,0
P110,Servicio de alojamiento,0,0,0,0,0,0,0,-0,0,0
P111,Servicio de suministro de comidas y bebidas,0,0,0,0,0,0,0,-0,0,0
P112,"Servicios de información, telecomunicaciones y radiodifusión",0,0,0,0,0,0,0,-0,0,0
P113,Servicios de banco central,0,0,0,0,0,0,0,-0,0,0
P114,Otros servicios financieros y servicios de banca de inversión,0,0.0596754610191113,0,0,0,0,0,-0,0.0596754610191113,0.0596754610191397
P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),0,44.2903514471672,0,0,0,0,0,-0,44.2903514471672,44.2903514471673
P116,"Servicios de seguro, reaseguro y fondos de pensiones",0,0.223259412876246,0,0,0,0,0,-0,0.223259412876246,0.223259412876359
P117,Servicios auxiliares de la intermediación financiera,0,0,0,0,0,0,0,-0,0,0
P118,Servicios de alquiler de vivienda,0,0,0,0,0,0,0,-0,0,0
P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",0,0,0,0,0,0,0,-0,0,0
P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",0,0.000480647073377583,0,0,0,0,0,-0,0.000480647073377583,0.000480647073377583
P121,Servicios de tecnología de la información,0,0,0,0,147.231420167118,0,0,-0,147.231420167118,147.231420167118
P122,"Servicios de arquitectura e ingeniería, ensayos y análisis técnicos",0,0,0,0,0,0,0,-0,0,0
P123,"Otros servicios profesionales, científicos y técnicos",0,0,0,0,0,0,0,-0,0,0
P124,Servicios de publicidad y estudios de mercado,0,0,0,0,0,0,0,-0,0,0
P125,Servicios de arrendamiento o alquiler sin operador,0,0,0,0,0,0,0,-0,0,0
P126,Servicios  de agencias de empleo y de dotación de recursos humanos,0,0,0,0,0,0,0,-0,0,0
P127,"Servicios de agencias de viajes, operadores turísticos y actividades conexas",0,0,0,0,0,0,0,-0,0,0
P128,"Servicios de seguridad, sistemas de seguridad e investigación privada",0,0,0,0,0,0,0,-0,0,0
P129,Servicios de limpieza,0,0,0,0,0,0,0,-0,0,0
P130,Servicios telefónicos de centros de llamadas,0,0,0,0,0,0,0,-0,0,0
P131,"Servicios administrativos, de apoyo de oficina y otros servicios de apoyo a las empresas",0,0,0,0,0,0,0,-0,0,0
P132,"Servicios de mantenimiento, reparación e instalación de productos metálicos elaborados, maquinaria y equipo",0,7.13799300688292e-05,0,0,0,0,0,-0,7.13799300688292e-05,7.13799300687823e-05
P133,Servicios de reparación de otros bienes,0,0,0,0,0,0,0,-0,0,0
P134,"Servicios de apoyo a la agricultura, caza, silvicultura y pesca",0,0,0,0,0,0,0,-0,0,0
P135,"Servicios de apoyo a la explotación de minas y canteras y los relacionados con la distribución de electricidad, gas y agua",0,0,0,0,0,0,0,-0,0,0
P136,Servicios de manufactura,0,0,0,0,0,0,0,-0,0,0
P137,Servicios públicos del gobierno general,0,0,0,0,0,0,0,-0,0,0
P138,"Servicios públicos administrativos relacionados con la provisión de servicios educativos, de salud, servicios sociales, culturales y otros, sin contar los servicios de seguridad social",0,0,0,0,0,0,0,-0,0,0
P139,Otros servicios administrativos,0,0,0,0,0,0,0,-0,0,0
P140,Servicios públicos administrativos prestados a la comunidad en su conjunto,0,252.573702488836,0,0,0,0,0,-0,252.573702488836,252.573702488836
P141,Servicios administrativos relacionados con los sistemas de seguridad social de afiliación obligatoria,0,0,0,0,0,0,0,-0,0,0
P142,Servicios de enseñanza,0,0,0,0,0,0,0,-0,0,0
P143,Servicios de hospitalización,0,0,0,0,0,0,0,-0,0,0
P144,Servicios médicos y dentales,0,0,0,0,0,0,0,-0,0,0
P145,Otros servicios de atención de la salud humana,0,0,0,0,0,0,0,-0,0,0
P146,"Servicios audiovisuales, recreativos, culturales y deportivos",0,0,0,0,0,0,0,-0,0,0
P147,Servicios de asociaciones que sirven a las empresas,0,0,0,0,0,0,0,-0,0,0
P148,Servicios de asociaciones que sirven a los hogares,0,0,0,0,0,0,0,-0,0,0
P149,Otros servicios,0,0,0,0,0,0,0,-0,0,0
P150,Servicios domésticos,0,0,0,0,0,0,0,-0,0,0
P151,Compras directas en el exterior por residentes,0,79.46640774,0,0,18.44182685,0,0,-0,97.90823459,97.90823459
P152,Compras directas en el territorio nacional por no residentes,0,6042.4467160802,0,0,0,0,0,-0,6042.4467160802,6042.4467160802
