codigo,producto,exportaciones_fob,consumo_hogares,consumo_isflsh,consumo_gobierno,formacion_bruta_capital_fijo,variacion_existencias,ajuste_cif_fob_publicado,ajuste_cif_fob_aplicado,total_componentes_no_solapados,total_demanda_final_fuente,ajuste_balance_produccion_utilizacion,demanda_final_balanceada
P078,Productos de cerámica y arcilla,373.8226832846,127.498636247978,0,0,0,19.0280792259564,0,-0,520.349398758535,520.349398758535,3.68345354218036e-11,520.349398758572
P079,"Cemento, cal y yeso",87.70775,48.942554897118,0,0,0,42.6802098138729,0,-0,179.330514710991,179.330514710991,2.71938915830106e-10,179.330514711261
P080,"Artículos de hormigón, cemento y yeso",18.3841056944,0.0479062122352849,0,0,0,20.4823131150526,0,-0,38.9143250216878,38.914325021688,-1.81444193003699e-10,38.914325021507
P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,16.52779202,20.1713778302575,0,0,0,9.09790995488884,0,-0,45.7970798051464,45.7970798051463,-8.01492205937393e-11,45.7970798050661
P082,"Métales básicos de hierro y acero, productos primarios de metales preciosos y otros metales no ferrosos",1502.2911341287,1.75249756652723,0,0,0,215.272035507898,0,-0,1719.31566720313,1719.31566720313,-4.10909706261009e-09,1719.31566719902
P083,Productos metálicos estructurales y sus partes de hierro o de acero,133.1637270694,555.1288873223,0,0,0,17.9176018392089,0,-0,706.210216230909,706.210216230909,-7.77617970015854e-11,706.210216230831
P084,Otros productos elaborados de metal,889.595363418902,240.913172774813,0,0.00508470798522671,153.1579968145,87.5657598734888,0,-0,1371.23737758969,1371.23737758969,-4.76120476378128e-10,1371.23737758921
P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",258.040716540965,0.216681565490006,0,0,1414.91864915173,14.6949317049121,0,-0,1687.8709789631,1687.8709789631,-9.40872268984094e-10,1687.87097896216
P086,Electrodomésticos y sus partes,0,0,0,0,0,0,0,-0,0,0,-3.1229548035988e-08,-3.12295480359881e-08
P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",0,0,0,0,0,0,0,-0,0,0,-2.1801414680877e-08,-2.1801414680877e-08
P088,"Maquinaria y aparatos eléctricos, sus partes y piezas",146.905035086531,4.02068039831658,0,0,1048.98512286279,13.6886220495805,0,-0,1213.59946039722,1213.59946039722,1.3505996321328e-10,1213.59946039736
P089,"Equipo y aparatos de radio, televisión y comunicaciones",0,0,0,0,0,0,0,-0,0,0,0,0
P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",0,34.4429422955788,1.07083699293896,0.37727340248404,0,3.93770308732832,0,-0,39.8287557783301,39.8287557783301,1.88720150617883e-11,39.828755778349
P091,Equipo de transporte,107.991274686602,277.659691060451,0.0151863641174186,0,191.573261755335,-3.77885211630998,0,-0,573.460561750196,573.460561750196,3.12638803734444e-10,573.460561750509
P092,Muebles,342.268871067195,2190.60599053758,0,0,2227.28135317482,17.587447374565,0,-0,4777.74366215416,4777.74366215416,-2.45563569478691e-11,4777.74366215414
P093,Otros artículos n.c.p.,148.5893441326,862.466171383523,9.96100481788783,2.36125285141585,23.1391358490566,7.59450695566452,0,-0,1054.11141599015,1054.11141599015,2.50793164013885e-10,1054.1114159904
P094,Residuos y desechos,501.712868196362,0,0,0,0,3.62329323021713,0,-0,505.33616142658,505.33616142658,-3.09228198602796e-11,505.336161426549
P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",219.596391914399,5301.34880344284,0,0,0,0,0,-0,5520.94519535724,5520.94519535724,1.81898940354586e-12,5520.94519535724
P096,Agua natural y distribución de agua natural,0,1183.2952092493,0,0,0,0,0,-0,1183.2952092493,1183.2952092493,4.54747350886464e-13,1183.2952092493
P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",0,450.667756088854,0,0,0,0,0,-0,450.667756088854,450.667756088854,1.13686837721616e-13,450.667756088855
P098,Edificaciones residenciales,0,0,0,0,14873.3727593345,435.862471880769,0,-0,15309.2352312153,15309.2352312153,0,15309.2352312153
P099,Edificaciones no residenciales,0,0,0,0,6325.24224247114,16.6166182726731,0,-0,6341.85886074381,6341.85886074381,-0.163310865901622,6341.69554987791
P100,Obras de ingeniería civil,0,0,0,0,11112.924307115,0,0,-0,11112.924307115,11112.924307115,0,11112.924307115
P101,Servicios generales y especializados de construcción,214.567115740813,110.240787312852,0,0,0,0,0,-0,324.807903053665,324.807903053665,2.11002770811319e-10,324.807903053874
P102,Servicios de comercio,2563.76650795549,72946.1055169695,138.619776555947,255.804029105864,4893.13768986704,211.584582745435,0,-0,81009.0181031993,81009.0181031993,-3.91446519643068e-09,81009.0181031954
P103,Mantenimiento y reparación de vehículos automotores y motocicletas,5.22663582912429,5711.80036797364,0,0,0,0,0,-0,5717.02700380276,5717.02700380276,-7.09405867382884e-11,5717.02700380269
P104,Servicio de transporte de pasajeros por vía terrestre,5.23942259525629,5654.80782753905,0,0,0,0,0,-0,5660.04725013431,5660.04725013431,-9.09494701772928e-13,5660.04725013431
P105,Servicio de transporte de carga por vía terrestre,1026.32459002887,3056.6908943993,2.87927714452793,3.77450267178849,139.384113530434,22.6200825542407,-23.9879956546108,23.9879956546108,4275.66145598378,4275.66145598378,0.189999990836441,4275.85145597461
P106,Otros tipos de transporte,124.339003792286,246.119413385182,0,0,0,0,0,-0,370.458417177467,370.458417177467,4.39598750290315e-07,370.458417617066
P107,Servicios de almacenamiento y depósito,1.62989373,0,0,0,0,0,0,-0,1.62989373,1.62989372999999,-3.76871867047157e-11,1.62989372996225
P108,Otros servicios de apoyo al transporte,1728.15969005828,1765.6305266606,0,0,0,0,0,-0,3493.79021671887,3493.79021671887,4.82032191939652e-11,3493.79021671892
P109,Servicios postales y de mensajería,43.1026842901674,325.218143979133,0,0,0,0,0,-0,368.3208282693,368.3208282693,-1.88720150617883e-11,368.320828269281
P110,Servicio de alojamiento,0,877.084754710434,0,0,0,0,0,-0,877.084754710434,877.084754710434,2.27373675443232e-13,877.084754710434
P111,Servicio de suministro de comidas y bebidas,33.3248228836982,24469.8992280186,47.8051251162879,1110.81745745091,0,0,0,-0,25661.8466334695,25661.8466334695,2.5465851649642e-11,25661.8466334695
P112,"Servicios de información, telecomunicaciones y radiodifusión",3535.47833665048,13507.1387285554,0,0,0,0,0,-0,17042.6170652059,17042.6170652059,-6.18456397205591e-11,17042.6170652058
P113,Servicios de banco central,0,0,0,696.027746796241,0,0,0,-0,696.027746796241,696.027746796241,0,696.027746796241
P114,Otros servicios financieros y servicios de banca de inversión,63.7785505790595,523.266523720787,0,0,0,0,0,-0,587.045074299847,587.045074299847,4.54747350886464e-13,587.045074299847
