codigo,producto,consumo_intermedio_domestico,consumo_intermedio_importado,impuestos_netos_productos,valor_agregado_bruto,suma_coeficientes
P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),0.305697155036582,0.0247487204634003,0.00609561645556057,0.663458508044457,1
P116,"Servicios de seguro, reaseguro y fondos de pensiones",0.449932961071522,0.217709427380501,0.0116998039065798,0.320657807641397,1
P117,Servicios auxiliares de la intermediación financiera,0.393022847788145,0.0278072640738142,0.00728408236885548,0.571885805769185,1
P118,Servicios de alquiler de vivienda,0.0527763361710474,0.000985396935796516,0.00117850130176085,0.945059765591395,1
P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",0.269087775703785,0.0129583435201073,0.00734131181967855,0.710612568956429,1
P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",0.173321669277397,0.0211946703821923,0.00488255718225368,0.800601103158157,1
P121,Servicios de tecnología de la información,0.296077629944548,0.0983145084394567,0.0109603056742146,0.594647555941781,1
P122,"Servicios de arquitectura e ingeniería, ensayos y análisis técnicos",0.326806481771456,0.0492883568053884,0.0102578881480403,0.613647273275115,1
P123,"Otros servicios profesionales, científicos y técnicos",0.262490205661994,0.0320923533658184,0.00727697433880939,0.698140466633378,1
P124,Servicios de publicidad y estudios de mercado,0.373963990932295,0.0874927281735582,0.0107085351061445,0.527834745788002,1
P125,Servicios de arrendamiento o alquiler sin operador,0.260376829659952,0.0572475144461169,0.00908868604325047,0.67328696985068,1
P126,Servicios  de agencias de empleo y de dotación de recursos humanos,0.0922155645230701,0.0148205293875293,0.00298278435077065,0.88998112173863,1
P127,"Servicios de agencias de viajes, operadores turísticos y actividades conexas",0.33306783320575,0.0552073762834076,0.0112858296816066,0.600438960829236,1
P128,"Servicios de seguridad, sistemas de seguridad e investigación privada",0.146561383500043,0.0316937664862674,0.00534724868057751,0.816397601333112,1
P129,Servicios de limpieza,0.249077167487576,0.0315589949283742,0.00741288681379978,0.71195095077025,1
P130,Servicios telefónicos de centros de llamadas,0.206128828923678,0.0124869879883388,0.0050981704186269,0.776286012669356,1
P131,"Servicios administrativos, de apoyo de oficina y otros servicios de apoyo a las empresas",0.237404605280282,0.0508713357349915,0.00994668483984357,0.701777374144883,1
P132,"Servicios de mantenimiento, reparación e instalación de productos metálicos elaborados, maquinaria y equipo",0.393824539304814,0.316758323137536,0.0138271303079595,0.275590007249691,1
P133,Servicios de reparación de otros bienes,0.182348653389649,0.112997588117746,0.0072892121855996,0.697364546307005,1
P134,"Servicios de apoyo a la agricultura, caza, silvicultura y pesca",0.0726234384313237,0.0330989463600454,0.00617779824976589,0.888099816958865,1
P135,"Servicios de apoyo a la explotación de minas y canteras y los relacionados con la distribución de electricidad, gas y agua",0.336523986820723,0.27968062898344,0.0101605210011255,0.373634863194711,1
P136,Servicios de manufactura,0.273650013954027,0.0910444328895692,0.0073776458991942,0.62792790725721,1
P137,Servicios públicos del gobierno general,0.475940379020637,0.0893225452472792,0.0155918610051756,0.419145214726908,1
P138,"Servicios públicos administrativos relacionados con la provisión de servicios educativos, de salud, servicios sociales, culturales y otros, sin contar los servicios de seguridad social",0.243497468098517,0.0297839967259481,0.0084238354189712,0.718294699756563,1
P139,Otros servicios administrativos,0.448894122760361,0.0300142742027948,0.0118254015747739,0.509266201462071,1
P140,Servicios públicos administrativos prestados a la comunidad en su conjunto,0.139939017204354,0.0285038614151596,0.00479471695127378,0.826762404429213,1
P141,Servicios administrativos relacionados con los sistemas de seguridad social de afiliación obligatoria,0.187838122400464,0.0622036472145845,0.00429478710319715,0.745663443281754,1
P142,Servicios de enseñanza,0.110577989646392,0.0210374978784687,0.00462034084623038,0.863764171628909,1
P143,Servicios de hospitalización,0.199854097291119,0.0693782148586469,0.0087562134353727,0.722011474414861,1
P144,Servicios médicos y dentales,0.246724047081717,0.105281705622241,0.0114029593154635,0.636591287980579,1
P145,Otros servicios de atención de la salud humana,0.32644128716857,0.0804352099269086,0.0122112397276624,0.580912263176859,1
P146,"Servicios audiovisuales, recreativos, culturales y deportivos",0.373315883563461,0.0989276908549029,0.0123511446845073,0.515405280897128,1
P147,Servicios de asociaciones que sirven a las empresas,0.330382743681308,0.0399724688344936,0.0102571520263525,0.619387635457846,1
P148,Servicios de asociaciones que sirven a los hogares,0.469532370617962,0.0670717581360567,0.0179730691981287,0.445422802047853,1
P149,Otros servicios,0.116371761456314,0.0277478125858166,0.00442137193539625,0.851459054022473,1
P150,Servicios domésticos,0,0,0,1,1
P151,Compras directas en el exterior por residentes,0,0,0,0,0
P152,Compras directas en el territorio nacional por no residentes,0,0,0,0,0
