codigo,producto,multiplicador_produccion_domestica,encadenamiento_atras_normalizado,encadenamiento_adelante_normalizado,coeficiente_importacion_directa,requerimiento_importacion_total,multiplicador_valor_agregado,multiplicador_empleo_puestos_por_millon
P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",2.02340021077659,1.37204718254091,1.2821357561353,0.0325251709555909,0.156451982340811,0.830110824697337,9.51753772628381
P053,Productos alimenticios n.c.p.,1.55783738529888,1.05635374750499,0.79350383398171,0.264581311908068,0.331714938974223,0.653632307390786,7.8842463568155
P054,Preparados para alimentación animal,1.4954228178325,1.01403106166871,2.80489787222452,0.406547744872738,0.477963562171579,0.519158243041544,18.324596304713
P055,"Aguardientes, licores, vinos, demás bebidas espirituosas y productos del tabaco",1.81739059608039,1.23235415003313,0.727787074173922,0.0885733911216032,0.179759728727781,0.798953664528395,11.8623465354028
P056,Malta y cerveza de malta,1.47655713254374,1.00123843161496,0.682443391447729,0.346950125637263,0.427127080045037,0.556833768785994,3.18223513633044
P057,Bebidas no alcohólicas,1.74084031357767,1.18044617904886,0.697800129531722,0.268432881874336,0.365603279609092,0.616853102710596,5.20011951650603
P058,Aguas minerales y otras aguas embotelladas,1.35482650746659,0.918694128082463,0.706015067875227,0.111909795593378,0.165413057919394,0.824419914090208,3.76639956123474
P059,"Hilados, tejidos, telas y otros productos textiles excepto prendas de vestir",1.47480031627594,1.00004715230321,1.06299282775747,0.301305537013262,0.389071686254714,0.597307250032974,11.3858307827013
P060,"Prendas de vestir, adobo y teñido de pieles",1.57984188321217,1.07127477459807,0.771259212645703,0.23789670690138,0.332301320063394,0.651522240306933,11.0434611965409
P061,Cuero de piel curtida o adobada y cuero artificial o regenerado y artículos de cuero,1.75792050740315,1.19202808543133,0.903257877769907,0.109781929746168,0.174630676470156,0.81347547753795,14.9883213739749
P062,"Calzado y sus partes, de cualquier material y de cualquier uso",1.66458053552276,1.12873519618735,0.703902556148469,0.203462512077021,0.282252045137381,0.703287721149382,11.7141309531197
P063,"Madera aserrada y acepillada, productos de madera, corcho, paja y materiales trenzables",1.68424077564051,1.14206660582049,1.15395014035311,0.140476681136287,0.211201549490764,0.775085657774498,24.16918585783
P064,Pasta de papel y papel,1.44394866818758,0.979126962312657,0.947231573656011,0.437548207649542,0.511018954989894,0.475532164524864,4.70621206489885
P065,Envases de papel y cartón,1.4069160380649,0.954015511028188,0.987910688741313,0.390431181641548,0.457354815691758,0.530925484601768,5.05555215905482
P066,Productos de la edición,1.42805558890477,0.968350026274126,0.78341823311667,0.155438565915864,0.212789142627854,0.776024423814686,4.93937439087588
P067,Productos de la impresión,1.5042740313169,1.02003297985506,0.857053331375078,0.256611487951917,0.340730636474796,0.643131584976073,7.80966910099856
P068,"Gasolinas, diésel oil y fuel oils",1.18756649778356,0.805276810136604,0.706941863348325,0.0618745126630319,0.0951265332168373,0.898396189146997,1.10615188901435
P069,"Aceites, grasas lubricantes y otros aceites preparados",1,0.678089868348048,0.678089868348048,0,0,0,0
